"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","estimate","pval_defier"
"Forest",-3.18211291240679,3.85151130735794,0.000731024035858323,0.254826181464189,5.8695554313311e-05,1000,0.5,310,0.155,0.296816777865592,0.000731024035858323
"Saturated First Stage",-2.35497254098469,2.99144075893337,0.00935922986418429,0.296064807497884,0.00138832203366213,1000,0.5,372,0.186,0.296816777865592,0.00935922986418429
"Forest",-5.00664155673363,2.01460741868728,2.76939659874278e-07,-0.375790223776825,0.0219728997727953,1000,0.5,233,0.1165,-0.397035964415597,0.0219728997727953
"Saturated First Stage",-2.33906228427006,1.4143483655481,0.00976516356730014,-0.396662561507964,0.0786298213379378,1000,0.5,269,0.1345,-0.397035964415597,0.0786298213379378
"Forest",-4.02200131947826,1.68341378125829,2.88528672917542e-05,-0.400601615203269,0.0461475086234086,1000,0.5,232,0.116,-0.314057954575602,0.0461475086234086
"Saturated First Stage",-1.68412926666181,1.10205864713055,0.0462359550674029,-0.314003226102483,0.135218087915401,1000,0.5,244,0.122,-0.314057954575602,0.135218087915401
"Forest",-3.71859851084502,2.2201645313582,0.000100165583057288,-0.217334560699846,0.0132038005071557,1000,0.5,332,0.166,-0.236398298561161,0.0132038005071557
"Saturated First Stage",-1.44250871040329,0.927468394043335,0.0747376030408203,-0.236324732190927,0.176841697199348,1000,0.5,278,0.139,-0.236398298561161,0.176841697199348
"Forest",-3.29590863975156,3.34276826209294,0.000490519564332735,-0.258226003475665,0.000414735688933198,1000,0.5,304,0.152,-0.342788673982476,0.000414735688933198
"Saturated First Stage",-1.80126911645612,1.02472181688765,0.0359823327955455,-0.342254540895952,0.152747232903279,1000,0.5,260,0.13,-0.342788673982476,0.152747232903279
"Forest",-2.70979523105997,4.99784806011863,0.00336623791894402,0.114348187897514,2.89868174224215e-07,1000,0.5,449,0.2245,0.0593510267181393,0.00336623791894402
"Saturated First Stage",-1.0503410570458,1.20218342084231,0.146908828438153,0.0612631655714241,0.114646235642403,1000,0.5,461,0.2305,0.0593510267181393,0.146908828438153
"Forest",-2.82497906774313,4.2017129304159,0.00236418524471486,-0.208577852166516,1.32451460100348e-05,1000,0.5,471,0.2355,-0.135698307392671,1.32451460100348e-05
"Saturated First Stage",-1.20698576131551,0.917864800214058,0.113862968226589,-0.135955635604004,0.179344825966651,1000,0.5,351,0.1755,-0.135698307392671,0.179344825966651
"Forest",-2.63654833452608,4.06439984839487,0.00418771335821116,0.222162899507543,2.40781053936974e-05,1000,0.5,380,0.19,0.190830473498841,0.00418771335821116
"Saturated First Stage",-1.97867306598848,2.40245851030314,0.0240648174102194,0.190339920485342,0.00814264090773552,1000,0.5,418,0.209,0.190830473498841,0.0240648174102194
"Forest",-4.54965967425023,2.47114054074554,2.68663738558767e-06,-0.307035066529833,0.0067341438366851,1000,0.5,318,0.159,-0.253374117463727,0.0067341438366851
"Saturated First Stage",-2.1702663728492,1.51805578491802,0.0151119165513928,-0.254197990764079,0.0645001681093924,1000,0.5,373,0.1865,-0.253374117463727,0.0645001681093924
"Forest",-1.90940919953822,3.62693137297985,0.028104662478978,0.337449196999009,0.000143404741234778,1000,0.5,297,0.1485,0.27683044138569,0.028104662478978
"Saturated First Stage",-1.59061977598622,2.13480497520033,0.0560072121168648,0.276684064235746,0.0163884718685891,1000,0.5,355,0.1775,0.27683044138569,0.0560072121168648
"Forest",-2.50475106628263,2.71003674265905,0.00612688014132072,0.0203541727773406,0.00336378775079232,1000,0.5,436,0.218,0.0562770651053966,0.00612688014132072
"Saturated First Stage",-1.20695454980381,1.37278484906964,0.113868975720252,0.0549120679389142,0.0849096210974805,1000,0.5,451,0.2255,0.0562770651053966,0.113868975720252
"Forest",-2.35923823005941,4.37344535985468,0.00915624776559293,0.378088199718466,6.11504329306534e-06,1000,0.5,318,0.159,0.449809081812743,0.00915624776559293
"Saturated First Stage",-1.85763989963743,2.94578871765585,0.0317584589808117,0.449544512266933,0.0016106617807135,1000,0.5,310,0.155,0.449809081812743,0.0317584589808117
"Forest",-2.9780188801242,3.98978194216902,0.00145059056493131,0.234753399261249,3.30670330255201e-05,1000,0.5,295,0.1475,0.217709100114986,0.00145059056493131
"Saturated First Stage",-1.4231934743929,1.89047849038892,0.0774975612195926,0.219684457378918,0.029346997331373,1000,0.5,353,0.1765,0.217709100114986,0.0774975612195926
"Forest",-2.05700927214217,5.32319312864962,0.0198426669885084,0.482655695090705,5.09806959405098e-08,1000,0.5,201,0.1005,0.434310434351946,0.0198426669885084
"Saturated First Stage",-1.36885810282349,2.55760140583461,0.0856770672474813,0.434900546244384,0.00526984116545815,1000,0.5,288,0.144,0.434310434351946,0.0856770672474813
"Forest",-3.28334916413524,2.80994968350692,0.000512907619184044,0.0561453510712559,0.002477462287466,1000,0.5,498,0.249,0.0679894916629345,0.000512907619184044
"Saturated First Stage",-1.36038933383238,1.46863085450082,0.0870082032589736,0.0701748885303395,0.0709664706675815,1000,0.5,445,0.2225,0.0679894916629345,0.0870082032589736
"Forest",-3.33528680391578,0.967158298500103,0.000426057326214445,-0.519096410522127,0.166732452700991,1000,0.5,112,0.056,-0.433208492361121,0.166732452700991
"Saturated First Stage",-2.90833429477035,1.87469486993459,0.00185738677282311,-0.433830833750193,0.0304173565309559,1000,0.5,296,0.148,-0.433208492361121,0.0304173565309559
"Forest",-1.90926012083871,4.51652600546213,0.0281142720193921,0.333233444963579,3.14312001597815e-06,1000,0.5,224,0.112,0.27641446022476,0.0281142720193921
"Saturated First Stage",-1.67072563627988,2.37386328000139,0.0475459760000793,0.272952748200761,0.0088015335936076,1000,0.5,362,0.181,0.27641446022476,0.0475459760000793
"Forest",-3.46573889141457,2.5911501511261,0.000264388267846913,-0.0493192378619398,0.00478278728121511,1000,0.5,509,0.2545,-0.0644984098451506,0.00478278728121511
"Saturated First Stage",-2.45407867807703,2.35009572345057,0.00714796425801018,-0.0668252419282836,0.00938429183130639,1000,0.5,450,0.225,-0.0644984098451506,0.00938429183130639
"Forest",-3.83331107954382,2.50149486633783,6.32149529019892e-05,-0.372622423455567,0.00618351176968619,1000,0.5,321,0.1605,-0.406412685081561,0.00618351176968619
"Saturated First Stage",-2.32613745402278,1.00697186772731,0.0101061839697325,-0.407976131407578,0.156974146726851,1000,0.5,321,0.1605,-0.406412685081561,0.156974146726851
"Forest",-1.99029776070436,2.68962934307849,0.0232790722756864,0.0133951761955668,0.00357657103505238,1000,0.5,507,0.2535,-0.0242261810053714,0.00357657103505238
"Saturated First Stage",-1.2840774555041,1.23903870868951,0.0997076394227814,-0.0232334658600698,0.107665581646626,1000,0.5,483,0.2415,-0.0242261810053714,0.107665581646626
"Forest",-6.77006569135865,1.43345831174893,6.43619675175998e-12,-0.346734078826642,0.0758634521853677,1000,0.5,298,0.149,-0.248754325550733,0.0758634521853677
"Saturated First Stage",-3.41146419497619,2.72284631690689,0.000336137166950965,-0.253272953732105,0.00323610790257447,1000,0.5,418,0.209,-0.248754325550733,0.00323610790257447
"Forest",-4.23653023242802,1.8470827925443,1.13500184354726e-05,-0.234301624320536,0.0323675709901212,1000,0.5,410,0.205,-0.20048772761516,0.0323675709901212
"Saturated First Stage",-2.4434580766388,1.85138904230292,0.00736051360572017,-0.199397155890501,0.0320568021750235,1000,0.5,409,0.2045,-0.20048772761516,0.0320568021750235
"Forest",-2.3651280548596,2.40783193929904,0.00901191882296193,0.12757254877634,0.00802378320795612,1000,0.5,381,0.1905,0.168543712419714,0.00901191882296193
"Saturated First Stage",-1.80816961597328,2.13098683847492,0.0354417287065959,0.168708466205796,0.0165451132444565,1000,0.5,394,0.197,0.168543712419714,0.0354417287065959
"Forest",-3.32925488521017,2.29441939626668,0.000435393371317794,-0.118117285746718,0.0108832100421177,1000,0.5,401,0.2005,-0.0618261022228733,0.0108832100421177
"Saturated First Stage",-1.78914268599796,1.55014631004197,0.0369487302405277,-0.0614497466688512,0.0605532014710086,1000,0.5,491,0.2455,-0.0618261022228733,0.0605532014710086
"Forest",-6.96819657531271,1.46969467281344,1.60514732453501e-12,-0.837530324401524,0.070822233087047,1000,0.5,143,0.0715,-0.851140027161161,0.070822233087047
"Saturated First Stage",-3.54699237686325,0.818660930557303,0.000203958222522739,-0.850325115741679,0.206489946577362,1000,0.5,160,0.08,-0.851140027161161,0.206489946577362
"Forest",-2.50562033182642,2.39810721895286,0.00611183985144344,-0.090988008660993,0.0082400202649657,1000,0.5,423,0.2115,-0.00162205756327384,0.0082400202649657
