"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Saturated First Stage",-0.483906043472135,5.87604753909104,0.31423689307817,0.916040590716007,2.10088853374538e-09,474,0.0948,218,0.0436,1,0.31423689307817,"Medium"
"Forest",-2.47647639710725,9.27071767167685,0.00663431989627738,0.921147970599234,9.24487963874886e-21,288,0.0576,534,0.1068,1,0.00663431989627738,"Medium"
"Saturated First Stage",0.523404899795138,6.71413421012672,0.699642121544417,0.987833229782644,9.45930616322693e-12,288,0.0576,0,0,1,0.699642121544417,"Medium"
"Forest",-4.33468814134674,13.5590856254495,7.29834519302704e-06,0.943765585616501,3.50016400259943e-42,1224,0.2448,1156,0.2312,1,7.29834519302704e-06,"Medium"
"Saturated First Stage",-1.49586692848073,6.92594171808748,0.0673757877203558,0.888540273143786,2.16542374452717e-12,1224,0.2448,1430,0.286,1,0.0673757877203558,"Medium"
"Forest",-3.90805133758905,9.67550700866285,4.65217692643374e-05,0.945733812337916,1.91593779361052e-22,441,0.0882,748,0.1496,1,4.65217692643374e-05,"Medium"
"Saturated First Stage",-0.240546161389851,7.08774813381733,0.404958381801553,0.938958653104577,6.81558783364119e-13,441,0.0882,1143,0.2286,1,0.404958381801553,"Medium"
"Forest",-5.29742703947671,10.1919473649213,5.87229041039624e-08,0.930493369213385,1.07702727501812e-24,738,0.1476,1185,0.237,1,5.87229041039624e-08,"Medium"
"Saturated First Stage",-0.875084444539572,7.45836206645096,0.19078503872664,0.942830581804268,4.38023316360079e-14,738,0.1476,1358,0.2716,1,0.19078503872664,"Medium"
"Forest",-6.22664269778327,12.476063463596,2.38268098151646e-10,1.01058136786154,5.04253349409279e-36,1067,0.2134,934,0.1868,1,2.38268098151646e-10,"Medium"
"Saturated First Stage",-1.40830467128051,9.0318573589096,0.0795515861358281,0.993650613739328,8.43911665564352e-20,1067,0.2134,1764,0.3528,1,0.0795515861358281,"Medium"
"Forest",-1.31633738261797,12.3617580986346,0.0940304145351575,1.2891187077091,2.10425230693276e-35,951,0.1902,318,0.0636,1,0.0940304145351575,"Medium"
"Saturated First Stage",0.0694343685988358,7.43081847387638,0.527676672542186,1.15410593972292,5.3963871710562e-14,951,0.1902,0,0,1,0.527676672542186,"Medium"
"Forest",-4.58932422235959,8.5614051828116,2.22341638859196e-06,1.01323795332159,5.5750048425233e-18,927,0.1854,1098,0.2196,1,2.22341638859196e-06,"Medium"
"Saturated First Stage",-0.43032135476832,8.0615524189863,0.333490239422927,1.01782299738815,3.76657889331346e-16,927,0.1854,932,0.1864,1,0.333490239422927,"Medium"
"Forest",-3.69660308865478,16.7252056904598,0.000109251777559413,1.30390103564417,4.29395956389789e-63,1110,0.222,887,0.1774,1,0.000109251777559413,"Medium"
"Saturated First Stage",-1.54412768887047,9.93902252558497,0.061310406993463,1.33278472069721,1.40788237239722e-23,1110,0.222,848,0.1696,1,0.061310406993463,"Medium"
"Forest",-2.92847939876377,10.6153425066717,0.00170312202277564,0.759928386209713,1.26432675162617e-26,517,0.1034,863,0.1726,1,0.00170312202277564,"Medium"
"Saturated First Stage",-1.14613485007327,6.34279858377507,0.125897159100455,0.776628834652358,1.12814169275246e-10,517,0.1034,831,0.1662,1,0.125897159100455,"Medium"
"Forest",-3.07400748219677,11.6409190806544,0.00105602067738807,1.12794226851551,1.27625037723434e-31,298,0.0596,716,0.1432,1,0.00105602067738807,"Medium"
"Saturated First Stage",-0.330838727150515,7.94356928532408,0.370390098634808,1.1107393997515,9.82224419402998e-16,298,0.0596,615,0.123,1,0.370390098634808,"Medium"
"Forest",-6.45546661400233,10.6869696473287,5.39429819797284e-11,0.794742439463388,5.85679077824473e-27,886,0.1772,1268,0.2536,1,5.39429819797284e-11,"Medium"
"Saturated First Stage",-2.44461937058768,7.69012464283852,0.007267435589304,0.797305579621996,7.34958779712144e-15,886,0.1772,1569,0.3138,1,0.007267435589304,"Medium"
"Forest",-5.86278246781001,14.1043688010964,2.27587185404181e-09,1.05076488698266,1.78484444586234e-45,1139,0.2278,1198,0.2396,1,2.27587185404181e-09,"Medium"
"Saturated First Stage",-2.28420934819947,10.0703144787305,0.0112005196952869,1.06995093191744,3.73693629415391e-24,1139,0.2278,1305,0.261,1,0.0112005196952869,"Medium"
"Forest",-4.98486159283971,9.03409283517306,3.10030915175353e-07,0.907367607315188,8.26841542229223e-20,926,0.1852,1295,0.259,1,3.10030915175353e-07,"Medium"
"Saturated First Stage",-2.34203500510719,8.34416577881379,0.00960901594444083,0.909355397665669,3.58591635951004e-17,926,0.1852,927,0.1854,1,0.00960901594444083,"Medium"
"Forest",-1.67271743462092,13.1613682942201,0.0471914676880236,1.45878825129686,7.32050775023363e-40,787,0.1574,339,0.0678,1,0.0471914676880236,"Medium"
"Saturated First Stage",0.156644936091443,7.77102668892703,0.56223448859317,1.34661276834693,3.89262457131375e-15,787,0.1574,0,0,1,0.56223448859317,"Medium"
"Forest",-2.13358768160416,11.4304354597322,0.0164382736130083,1.05834630379663,1.47313787134932e-30,791,0.1582,466,0.0932,1,0.0164382736130083,"Medium"
"Saturated First Stage",0.811702340757283,7.12017438364545,0.791499416223259,1.07493786067191,5.38952983002939e-13,791,0.1582,0,0,1,0.791499416223259,"Medium"
"Forest",-4.31779378993498,12.4263163940961,7.87982810629105e-06,1.05164232212492,9.4052144165391e-36,662,0.1324,683,0.1366,1,7.87982810629105e-06,"Medium"
"Saturated First Stage",-0.180341351974471,6.66169027958734,0.428445958423529,1.03818583580805,1.35348014975996e-11,662,0.1324,421,0.0842,1,0.428445958423529,"Medium"
"Forest",-2.44967023449031,12.0325714706615,0.00714935505373963,1.09430637561048,1.1979031635861e-33,842,0.1684,516,0.1032,1,0.00714935505373963,"Medium"
"Saturated First Stage",-0.174605024777061,7.84649921362987,0.430698541767283,1.13205942309047,2.13905716785176e-15,842,0.1684,644,0.1288,1,0.430698541767283,"Medium"
"Forest",-3.48235236264574,9.8679962174268,0.000248514603360336,0.741527760530641,2.86488719737428e-23,534,0.1068,1103,0.2206,1,0.000248514603360336,"Medium"
"Saturated First Stage",-1.0937571081363,5.45583174520639,0.137057157821396,0.765917558429385,2.43720665745758e-08,534,0.1068,1412,0.2824,1,0.137057157821396,"Medium"
"Forest",-6.11950593511231,13.8232970782255,4.69329672169481e-10,0.921373766596791,9.22126832571734e-44,1086,0.2172,1216,0.2432,1,4.69329672169481e-10,"Medium"
"Saturated First Stage",-1.28328001006856,7.37234371970668,0.0997267935979829,0.910910026520421,8.38270390385005e-14,1086,0.2172,1722,0.3444,1,0.0997267935979829,"Medium"
"Forest",-3.81299905777397,9.88896454236213,6.86453180859331e-05,0.990992366104462,2.32405287770712e-23,1183,0.2366,1327,0.2654,1,6.86453180859331e-05,"Medium"
"Saturated First Stage",-0.52099984863222,7.57893393684683,0.301194997584983,1.01005804490632,1.74202924025178e-14,1183,0.2366,1453,0.2906,1,0.301194997584983,"Medium"
"Forest",-5.09825839448436,14.6853380360282,1.71396344619122e-07,0.95237517182809,4.00170467766814e-49,885,0.177,1077,0.2154,1,1.71396344619122e-07,"Medium"
"Saturated First Stage",-0.913972521996692,7.7002516722468,0.18038772157226,1.00648309720582,6.78992511189462e-15,885,0.177,1266,0.2532,1,0.18038772157226,"Medium"
"Forest",-5.04296663440531,11.2190325862252,2.29184600808652e-07,1.12865003530122,1.644240272914e-29,818,0.1636,612,0.1224,1,2.29184600808652e-07,"Medium"
"Saturated First Stage",-0.268832371250065,8.48692567046603,0.394034897563788,1.15811836886304,1.06087690750567e-17,818,0.1636,696,0.1392,1,0.394034897563788,"Medium"
"Forest",-3.99936940278122,10.2838664169562,3.17557413211616e-05,0.791491030978251,4.16583374784359e-25,793,0.1586,1428,0.2856,1,3.17557413211616e-05,"Medium"
"Saturated First Stage",-1.34067410377266,6.61188551902081,0.0900436573256194,0.812346096416705,1.89727706044349e-11,793,0.1586,1841,0.3682,1,0.0900436573256194,"Medium"
"Forest",-3.16501246854682,7.53620404447736,0.000775381527569817,0.900515899935106,2.41924649884906e-14,80,0.016,702,0.1404,1,0.000775381527569817,"Medium"
"Saturated First Stage",-0.154339937561929,5.76391585595506,0.438673975283657,0.92303989836092,4.10922003633645e-09,80,0.016,4,8e-04,1,0.438673975283657,"Medium"
"Forest",-1.0467452421662,7.91279823885572,0.147608545710831,1.03416976300415,1.25833522137153e-15,402,0.0804,185,0.037,1,0.147608545710831,"Medium"
"Saturated First Stage",1.09670804692733,5.10345467773709,0.863589020025083,1.04459296073759,1.66754206405461e-07,402,0.0804,0,0,1,0.863589020025083,"Medium"
"Forest",-2.38921161880385,11.7438497175201,0.00844228682312031,1.20865924096433,3.79744300642179e-32,500,0.1,593,0.1186,1,0.00844228682312031,"Medium"
"Saturated First Stage",0.628217867601038,6.81520961190662,0.735055011336073,1.18864875340687,4.70632107054913e-12,500,0.1,0,0,1,0.735055011336073,"Medium"
"Forest",-6.29722077724922,10.9820435916962,1.51514768947479e-10,0.967796704704642,2.33127546312196e-28,529,0.1058,838,0.1676,1,1.51514768947479e-10,"Medium"
