"model","min_tstat","max_tstat","pval_one_neg","mean_dydx","pval_one_pos","n_defiers_true","pct_defiers_true","n_defiers_estimated","pct_defiers_estimated","first_stage_sign","pval_defier","N"
"Forest",-16.0278472189461,5.43602586799257,4.08315694154165e-58,-2.05760889403168,2.72410243506085e-08,985,0.197,1119,0.2238,-1,2.72410243506085e-08,"Medium"
"Saturated First Stage",-15.1789316033724,1.87351759543677,3.29245314569311e-51,-2.0752988325815,0.0304984726603756,985,0.197,1474,0.2948,-1,0.0304984726603756,"Medium"
"Forest",-22.3108561704023,0.868059709788456,1.4494697974132e-110,-4.34536755722838,0.192680822997434,248,0.0496,52,0.0104,-1,0.192680822997434,"Medium"
"Saturated First Stage",-19.6990455954709,-1.66440138509421,1.48938624184339e-83,-4.37140240379882,0.951983878266051,248,0.0496,0,0,-1,0.951983878266051,"Medium"
"Forest",-22.6437337477705,32.5724194940943,8.04136623154164e-114,1.5198572606378,5.04161290946339e-233,1457,0.2914,2164,0.4328,1,8.04136623154164e-114,"Medium"
"Saturated First Stage",-18.1399484103448,22.6759076896454,1.43908116847184e-71,1.22586901694497,3.87338519887102e-114,1457,0.2914,1648,0.3296,1,1.43908116847184e-71,"Medium"
"Forest",-33.8942008388249,21.8459159959814,4.0550667246731e-252,-0.712023005625777,4.25017424049137e-106,1156,0.2312,2315,0.463,-1,4.25017424049137e-106,"Medium"
"Saturated First Stage",-20.3518611802617,16.6605714431692,8.0332900106107e-89,-0.708118044412813,1.26794964115878e-62,1156,0.2312,2184,0.4368,-1,1.26794964115878e-62,"Medium"
"Forest",-35.4516191904562,33.1868743402142,1.36936539370627e-275,0.440361064761656,8.32513605614881e-242,1406,0.2812,2534,0.5068,-1,8.32513605614881e-242,"Medium"
"Saturated First Stage",-30.9016876341368,32.965320104887,2.60656705185276e-192,0.340773066644434,1.27605665990767e-238,1406,0.2812,2518,0.5036,-1,1.27605665990767e-238,"Medium"
